CATEGORY,SUBCATEGORY,REGEXPR,PRIMARYKEY,FOREIGNKEY
BLOODGROUP,BLOODGROUP,^(A\+|A-|B\+|B-|AB\+|AB-|O\+|O-)$,,
CIVILITY,CIVILITY_FR,^(M\.|MME|MLLE|MONSIEUR|MADAME|MADEMOISELLE)$,,
TEMPERATURE,TEMPERATURE_CELSIUS,^[\+-]?[0-9]+(\.\d+)?\s?(�C|�CELSIUS|CELSIUS)$,,
TEMPERATURE,TEMPERATURE_FAHRENHEIT,^[\+-]?[0-9]+(\.\d+)?\s?(�F|�FAHRENHEIT|FAHRENHEIT�)$,,
TEMPERATURE,TEMPERATURE_KELVIN,^[\+-]?[0-9]+(\.\d+)?\s?(K|KELVIN)$,,
WEIGHT,WEIGHT_TO,^[0-9]+(\.\d+)?\s+(TO|TONNES|TONNE)$,,
WEIGHT,WEIGHT_FR_LB,^[0-9]+(\.\d+)?\s+(LB|LIVRE)$,,
WEIGHT,WEIGHT_EN_LB,^[0-9]+(\.\d+)?\s+(LB|BOOK|LIVRE)$,,
WEIGHT,WEIGHT_OZ,^(24|25|26|27|28|29|30|31|32|33)\s+(OZ|ONS|ONCE|ONCES)$,,
WEIGHT,WEIGHT_QU,^[0-9]+(\.\d+)?\s+(QU|QUINTALS|QUINTAL)$,,
WEIGHT,WEIGHT_FR_MGG,^[0-9]+(\.\d+)?\s+(MGG|MEGAGRAMME|MEGAGRAMME)$,,
WEIGHT,WEIGHT_EN_MGG,^[0-9]+(\.\d+)?\s+(MGG|MEGAGRAM|MEGAGRAMS)$,,
WEIGHT,WEIGHT_FR_GG,^[0-9]+(\.\d+)?\s+(GG|GIGAGRAMMES|KILOGRAMMES)$,,
WEIGHT,WEIGHT_EN_GG,^[0-9]+(\.\d+)?\s+(GG|GIGAGRAM|GIGAGRAMS)$,,
WEIGHT,WEIGHT_FR_TG,^[0-9]+(\.\d+)?\s+(TG|T�RAGRAMME|T�ERAGRAMMES)$,,
WEIGHT,WEIGHT_EN_TG,^[0-9]+(\.\d+)?\s+(TG|TERAGRAM|TERAGRAMS)$,,
WEIGHT,WEIGHT_FR_PG,^[0-9]+(\.\d+)?\s+(PG|P�TAGRAMME|P�TAGRAMMES)$,,
WEIGHT,WEIGHT_EN_PG,^[0-9]+(\.\d+)?\s+(PG|PETAGRAM|PETAGRAMS)$,,
WEIGHT,WEIGHT_FR_EG,^[0-9]+(\.\d+)?\s+(EG|EXAGRAMME|EXAGRAMMES)$,,
WEIGHT,WEIGHT_EN_EG,^[0-9]+(\.\d+)?\s+(EG|EXAGRAM|EXAGRAMS)$,,
WEIGHT,WEIGHT_FR_ZG,^[0-9]+(\.\d+)?\s+(ZG|ZETTAGRAMME|ZETTAGRAMMES)$,,
WEIGHT,WEIGHT_EN_ZG,^[0-9]+(\.\d+)?\s+(ZG|ZETTAGRAM|ZETTAGRAMS)$,,
WEIGHT,WEIGHT_FR_YG,^[0-9]+(\.\d+)?\s+(YO|YOTTOGRAMME|YOTTAGRAMMES)$,,
WEIGHT,WEIGHT_EN_YG,^[0-9]+(\.\d+)?\s+(YO|YOTTAGRAM|YOTTAGRAMS)$,,
WEIGHT,WEIGHT_FR_KG,^[0-9]+(\.\d+)?\s+(KG|KILOGRAMME|KILOGRAMMES)$,,
WEIGHT,WEIGHT_EN_KG,^[0-9]+(\.\d+)?\s+(KG|KILOGRAM|KILOGRAMS)$,,
WEIGHT,WEIGHT_FR_HG,^[0-9]+(\.\d+)?\s+(HG|HECTOGRAMME|HECTOGRAMMES)$,,
WEIGHT,WEIGHT_EN_HG,^[0-9]+(\.\d+)?\s+(HG|HECTOGRAM|HECTOGRAMS)$,,
WEIGHT,WEIGHT_FR_DAG,^[0-9]+(\.\d+)?\s+(DAG|D�CAGRAMME|D�CAGRAMMES)$,,
WEIGHT,WEIGHT_EN_DAG,^[0-9]+(\.\d+)?\s+(DAGDECAGRAM|DECAGRAMS)$,,
WEIGHT,WEIGHT_FR_G,^[0-9]+(\.\d+)?\s+(G|GRAMME|GRAMMES)$,,
WEIGHT,WEIGHT_EN_G,^[0-9]+(\.\d+)?\s+(G|GRAM|GRAMS)$,,
WEIGHT,WEIGHT_FR_DG,^[0-9]+(\.\d+)?\s+(DG|D�CIGRAMME|D�CIGRAMMES)$,,
WEIGHT,WEIGHT_EN_DG,^[0-9]+(\.\d+)?\s+(DG|DECIGRAM|DECIGRAMS)$,,
WEIGHT,WEIGHT_FR_CG,^[0-9]+(\.\d+)?\s+(CG|CENTIGRAMME|CENTIGRAMMES)$,,
WEIGHT,WEIGHT_EN_CG,^[0-9]+(\.\d+)?\s+(CG|CENTIGRAM|CENTIGRAMS)$,,
WEIGHT,WEIGHT_FR_MG,^[0-9]+(\.\d+)?\s+(MG|MILLIGRAMME|MILLIGRAMMES)$,,
WEIGHT,WEIGHT_EN_MG,^[0-9]+(\.\d+)?\s+(MG|MILLIGRAM|MILLIGRAMS)$,,
WEIGHT,WEIGHT_FR_?G,^[0-9]+(\.\d+)?\s+(.G|MICROGRAMME|MICROGRAMMES)$,,
WEIGHT,WEIGHT_EN_?G,^[0-9]+(\.\d+)?\s+(.G|MICROGRAM|MICROGRAMS)$,,
WEIGHT,WEIGHT_FR_NG,^[0-9]+(\.\d+)?\s+(NG|NANOGRAMME|NANOGRAMMES)$,,
WEIGHT,WEIGHT_EN_NG,^[0-9]+(\.\d+)?\s+(NG|NANOGRAM|NANOGRAMS)$,,
WEIGHT,WEIGHT_FR_PG,^[0-9]+(\.\d+)?\s+(PG|PICOGRAMME|PICOGRAMMES)$,,
WEIGHT,WEIGHT_EN_PG,^[0-9]+(\.\d+)?\s+(PG|PICOGRAM|PICOGRAMS)$,,
WEIGHT,WEIGHT_FR_FG,^[0-9]+(\.\d+)?\s+(FG|FEMTOGRAMME|FEMTOGRAMMES)$,,
WEIGHT,WEIGHT_EN_FG,^[0-9]+(\.\d+)?\s+(FG|FEMTOGRAM|FEMTOGRAMS)$,,
WEIGHT,WEIGHT_FR_AG,^[0-9]+(\.\d+)?\s+(AG|ATTOGRAMME|ATTOGRAMMES)$,,
WEIGHT,WEIGHT_EN_AG,^[0-9]+(\.\d+)?\s+(AG|ATTOGRAM|ATTOGRAMS)$,,
WEIGHT,WEIGHT_FR_ZPG,^[0-9]+(\.\d+)?\s+(ZPG|ZEPTOGRAMME|ZEPTOGRAMMES)$,,
WEIGHT,WEIGHT_EN_ZPG,^[0-9]+(\.\d+)?\s+(ZPG|ZEPTOGRAM|ZEPTOGRAMS)$,,
WEIGHT,WEIGHT_FR_YCG,^[0-9]+(\.\d+)?\s+(YCG|YOCTOGRAMME|YOCTOGRAMMES)$,,
WEIGHT,WEIGHT_EN_YCG,^[0-9]+(\.\d+)?\s+(YCG|YOCTOGRAM|YOCTOGRAMS)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_FR_YM,^[0-9]+(\.\d+)?\s+(YM|YOTTAM�TRE|YOTTAM�RES)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_EN_YM,^[0-9]+(\.\d+)?\s+(YM|YOTTAMETER|YOTTAMETERS)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_FR_ZM,^[0-9]+(\.\d+)?\s+(ZM|ZETTAM�TRE|ZETTAM�TRES)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_EN_ZM,^[0-9]+(\.\d+)?\s+(ZM|ZETTAMETER|ZETTAMETERS)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_FR_EM,^[0-9]+(\.\d+)?\s+(EM|EXAM�TRE|EXAM�TRES)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_EN_EM,^[0-9]+(\.\d+)?\s+(EM|EXAMETER|EXAMETERS)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_FR_PM,^[0-9]+(\.\d+)?\s+(PM||P�TAM�TRE|P�TAM�TRES)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_EN_PM,^[0-9]+(\.\d+)?\s+(PM|PETAMETER|PETAMETERS)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_FR_TM,^[0-9]+(\.\d+)?\s+(TM|T�RA�TRE|T�RAM�TRES)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_EN_TM,^[0-9]+(\.\d+)?\s+(TM|TERAMETER|TERAMETERS)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_FR_GM,^[0-9]+(\.\d+)?\s+(GM|GIGAM�TRE|GIGAM�TRES)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_EN_GM,^[0-9]+(\.\d+)?\s+(GM|GIGAMETER|GIGAMETERS)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_FR_MGM,^[0-9]+(\.\d+)?\s+(MGM|M�T�RE|M�GAM�TRES)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_EN_MGM,^[0-9]+(\.\d+)?\s+(MGM|MEGAMETER|MEGAMETERS)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_FR_KM,^[0-9]+(\.\d+)?\s+(KM|KILOM�TRE|KILOM�TRES)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_EN_KM,^[0-9]+(\.\d+)?\s+(KM|KILOMETER|KILOMETERS)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_FR_HM,^[0-9]+(\.\d+)?\s+(HM|HECTOM�TRE|HECTOM�TRES)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_EN_HM,^[0-9]+(\.\d+)?\s+(HM|HECTOMETER|HECTOMETERS)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_FR_DAM,^[0-9]+(\.\d+)?\s+(DAM|D�CAM�TRE|D�M�TRES)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_EN_DAM,^[0-9]+(\.\d+)?\s+(DAM|DECAMETER|DECAMETERS)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_FR_M,^[0-9]+(\.\d+)?\s+(M|M�TRE|M�TRES)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_EN_M,^[0-9]+(\.\d+)?\s+(M|METER|METERS)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_FR_DM,^[0-9]+(\.\d+)?\s+(DM|D�CIM�TRE|D�CIM�TRES)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_EN_DM,^[0-9]+(\.\d+)?\s+(DM|DECIMETER|DECIMETERS)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_FR_CM,^[0-9]+(\.\d+)?\s+(CM|CENTIM�TRE|CENTIM�TRES)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_EN_CM,^[0-9]+(\.\d+)?\s+(CM|CENTIMETER|CENTIMETERS)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_FR_MM,^[0-9]+(\.\d+)?\s+(MM|MILLIM�TRE|MILLIM�TRES)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_EN_MM,^[0-9]+(\.\d+)?\s+(MM|MILLIMETER|MILLIMETERS)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_FR_UM,^[0-9]+(\.\d+)?\s+(UM|MICROM�TRE|MICROM�TRES)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_EN_UM,^[0-9]+(\.\d+)?\s+(UM|MICROMETER|MICROMETERS)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_FR_NM,^[0-9]+(\.\d+)?\s+(NM|NANOM�TRE|NANOM�TRES)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_EN_NM,^[0-9]+(\.\d+)?\s+(NM|NANOMETER|NANOMETERS)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_FR_PM,^[0-9]+(\.\d+)?\s+(PM|PICOM�TRE|PICOM�TRES)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_EN_PM,^[0-9]+(\.\d+)?\s+(PM|PICOMETER|PICOMETERS)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_FR_FM,^[0-9]+(\.\d+)?\s+(FM|FEMTOM�TRE|FEMTOM�TRES)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_EN_FM,^[0-9]+(\.\d+)?\s+(FM|FEMTOMETER|FEMTOMETERS)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_FR_AM,^[0-9]+(\.\d+)?\s+(AM|ATTOM�TRE|ATTOM�TRES)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_EN_AM,^[0-9]+(\.\d+)?\s+(AM|ATTOMETER|ATTOMETERS)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_FR_ZPM,^[0-9]+(\.\d+)?\s+(ZPM|ZEPTOM�TRE|ZEPTOM�TRES)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_EN_ZPM,^[0-9]+(\.\d+)?\s(ZPM|ZEPTOMETER|ZEPTOMETERS)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_FR_YCM,^[0-9]+(\.\d+)?\s+(YCM|YOCTOM�TRE|YOCTOM�TRES)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_EN_YCM,^[0-9]+(\.\d+)?\s+(YCM|YOCTOMETER|YOCTOMETERS)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_FT,^[0-9]+(\.\d+)?\s+(FT|FEET|FOOT)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_YD,^[0-9]+(\.\d+)?\s+(YD|YARD|YARDS)$,,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_FR_IN,"^[0-9]+(\.\d+)?\s+(IN|POUCE|PO|P|"")$",,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_EN_IN,"^[0-9]+(\.\d+)?\s+(IN|INCH|INCHES|P|"")$",,
SIZEDISTANCE_LENGTH,SIZEDISTANCE_LENGTH_MI,^[0-9]+(\.\d+)?\s+(MI|MILE|MILES)$,,
ATOMIC_MASS,ATOMIC_MASS_YMOL,^[0-9]+(\.\d+)?\s+(YMOL|YOTTAMOLE|YOTTAMOLES)$,,
ATOMIC_MASS,ATOMIC_MASS_ZMOL,^[0-9]+(\.\d+)?\s+(ZMOL|ZETTAMOLE|ZETTAMOLES)$,,
ATOMIC_MASS,ATOMIC_MASS_EMOL,^[0-9]+(\.\d+)?\s+(EMOL|EXAMOLE|EXAMOLES)$,,
ATOMIC_MASS,ATOMIC_MASS_FR_PMOL,^[0-9]+(\.\d+)?\s+(PMOL|P�TAMOLE|P�TAMOLES)$,,
ATOMIC_MASS,ATOMIC_MASS_EN_PMOL,^[0-9]+(\.\d+)?\s+(PMOL|PETAMOLES|PETAMOLE)$,,
ATOMIC_MASS,ATOMIC_MASS_FR_TMOL,^[0-9]+(\.\d+)?\s+(TMOL|T�RAMOLE|T�RAMOLES)$,,
ATOMIC_MASS,ATOMIC_MASS_EN_TMOL,^[0-9]+(\.\d+)?\s+(TMOL|TERAMOLES|TERAMOLE)$,,
ATOMIC_MASS,ATOMIC_MASS_GMOL,^[0-9]+(\.\d+)?\s+(GMOL|GIGAMOLE|GIGAMOLES)$,,
ATOMIC_MASS,ATOMIC_MASS_FR_MMOL,^[0-9]+(\.\d+)?\s+(MMOL|M�GAMOLE|M�GAMOLES)$,,
ATOMIC_MASS,ATOMIC_MASS_EN_MMOL,^[0-9]+(\.\d+)?\s+(MMOL|MEGAMOLES|MEGAMOLE)$,,
ATOMIC_MASS,ATOMIC_MASS_KMOL,^[0-9]+(\.\d+)?\s+(KMOL|KILOMOLE|KILOMOLES)$,,
ATOMIC_MASS,ATOMIC_MASS_HMOL,^[0-9]+(\.\d+)?\s+(HMOL|HECTOMOLE|HECTOMOLES)$,,
ATOMIC_MASS,ATOMIC_MASS_FR_DAMOL,^[0-9]+(\.\d+)?\s+(DAMOL|D�CAMOLE|D�CAMOLES)$,,
ATOMIC_MASS,ATOMIC_MASS_EN_DAMOL,^[0-9]+(\.\d+)?\s+(DAMOL|DECAMOLES|DECAMOLE)$,,
ATOMIC_MASS,ATOMIC_MASS_MOL,^[0-9]+(\.\d+)?\s+(MOL|MOLE|MOLES)$,,
ATOMIC_MASS,ATOMIC_MASS_FR_DMOL,^[0-9]+(\.\d+)?\s+(DMOL|D�CAMOLE|D�CAMOLES)$,,
ATOMIC_MASS,ATOMIC_MASS_EN_DMOL,^[0-9]+(\.\d+)?\s+(DMOL|DECAMOLES|DECAMOLE)$,,
ATOMIC_MASS,ATOMIC_MASS_CMOL,^[0-9]+(\.\d+)?\s+(CMOL|CENTIMOLE|CENTIMOLES)$,,
ATOMIC_MASS,ATOMIC_MASS_MMOL,^[0-9]+(\.\d+)?\s+(MMOL|MILLIMOLE|MILLIMOLES)$,,
ATOMIC_MASS,ATOMIC_MASS_UMOL,^[0-9]+(\.\d+)?\s+(UMOL|MICROMOLE|MICROMOLES)$,,
ATOMIC_MASS,ATOMIC_MASS_NMOL,^[0-9]+(\.\d+)?\s+(NMOL|NANOMOLE|NANOMOLES)$,,
ATOMIC_MASS,ATOMIC_MASS_PMOL,^[0-9]+(\.\d+)?\s+(PMOL|PICOOMOLE|PICOMOLES)$,,
ATOMIC_MASS,ATOMIC_MASS_FMOL,^[0-9]+(\.\d+)?\s+(FMOL|FEMTOMOLE|FEMTOMOLES)$,,
ATOMIC_MASS,ATOMIC_MASS_AMOL,^[0-9]+(\.\d+)?\s+(AMOL|ATTOMOLE|ATTOMOLES)$,,
ATOMIC_MASS,ATOMIC_MASS_ZPMOL,^[0-9]+(\.\d+)?\s+(ZPMOL|ZEPTOMOLE|ZEPTOMOLES)$,,
ATOMIC_MASS,ATOMIC_MASS_YCMOL,^[0-9]+(\.\d+)?\s+(YCMOL|YOCTOMOLE|YOCTOMOLES)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_BOUGIE,^[0-9]+(\.\d+)\s+(BOUGIE)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_YCD,^[0-9]+(\.\d+)\s+(YCD|YOTTACANDELA|YOTTACANDELAS)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_ZCD,^[0-9]+(\.\d+)\s+(ZCD|ZETTACANDELA|ZETTACANDELAS)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_ECD,^[0-9]+(\.\d+)\s+(ECD|EXACANDELA|EXACANDELAS)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_FR_PCD,^[0-9]+(\.\d+)\s+(P�TACANDELA|PCD|P�TACANDELA)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_EN_PCD,^[0-9]+(\.\d+)\s+(PCD|PETACANDELA|PETACANDELA)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_FR_TCD,^[0-9]+(\.\d+)?\s+(T�RACANDELA|TCD|T�ERACANDELAS)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_EN_TCD,^[0-9]+(\.\d+)?\s+(TCD|TERACANDELA|TERACANDELA)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_GCD,^[0-9]+(\.\d+)?\s+(GCD|GIGACANDELA|GIGACANDELAS)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_FR_MGCD,^[0-9]+(\.\d+)?\s+(MGCD|M�GACANDELA|M�GACANDELAS)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_EN_MGCD,^[0-9]+(\.\d+)?\s+(MGCD|MEGACANDELAS|MEGACANDELA)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_KCD,^[0-9]+(\.\d+)?\s+(KCD|KILOCANDELA|KILOCANDELAS)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_HCD,^[0-9]+(\.\d+)?\s+(HCD|HECTOCANDELA|HECTOCANDELAS)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_FR_DACD,^[0-9]+(\.\d+)?\s+(DACD|D�CACANDELA|D�ECACANDELAS)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_EN_DACD,^[0-9]+(\.\d+)?\s+(DACD|DECACANDELAS|DECACANDELA)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_CD,^[0-9]+(\.\d+)?\s+(CD|CANDELA|CANDELAS)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_FR_DCD,^[0-9]+(\.\d+)?\s+(DCD|D�CACANDELA|D�CACANDELAS)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_EN_DCD,^[0-9]+(\.\d+)?\s+(DCD|DECACANDELAS|DECACANDELA)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_CCD,^[0-9]+(\.\d+)?\s+(CCD|CENTICANDELA|CENTICANDELAS)$,,
